#ptx (m), pty (m), azim_deg (deg), state
368954.436,3280351.547,158.8878712,0
368944.293,3280360.579,118.5507476,0
368943.188,3280373.043,82.59540021,0
368940.587,3280380.295,145.8743419,0
368931.8,3280379.479,-138.336005,0
368927.125,3280363.022,-72.62456171,0
368934.83,3280354.721,-25.55092036,0
368942.843,3280355.714,25.97833841,0
368951.426,3280365.115,63.30957532,0
368958.113,3280369.576,-9.936389934,0
368964.898,3280363.003,-78.22339126,0
368962.854,3280352.726,-143.7495604,0
368957.59,3280350.974,179.36516970,12
