#ptx (m), pty (m), azim_deg (deg), state
-10.000000, -10.000000, 0.000000, 6
0.696057, 4.201769, 21.037511, 3
4.429440, 5.637685, 21.037511, 1
69.459092, 30.649090, 21.037511, 0
73.192474, 32.085006, 21.037511, 4
74.071958, 35.466607, 129.805571, 5
65.619758, 41.172265, 201.037511, 3
61.886376, 39.736349, 201.037511, 1
-3.558407, 14.565279, 201.037511, 0
-7.291790, 13.129362, 201.037511, 4
-8.091442, 9.816701, -48.179830, 5
-0.445064, 5.477139, 21.037511, 3
3.288319, 6.913056, 21.037511, 1
68.377275, 31.947270, 21.037511, 0
72.110658, 33.383186, 21.037511, 4
72.990141, 36.764787, 129.805571, 5
64.537942, 42.470445, 201.037511, 3
60.804559, 41.034529, 201.037511, 1
-4.699528, 15.840649, 201.037511, 0
-8.432911, 14.404733, 201.037511, 4
-9.232563, 11.092072, -48.179830, 5
-1.586185, 6.752510, 21.037511, 3
2.147198, 8.188426, 21.037511, 1
67.295459, 33.245450, 21.037511, 0
71.028841, 34.681366, 21.037511, 4
71.908325, 38.062967, 129.805571, 5
60.469667, 42.619988, 201.037511, 3
56.736285, 41.184071, 201.037511, 1
-5.840649, 17.116020, 201.037511, 0
-9.574032, 15.680103, 201.037511, 4
-10.373684, 12.367442, -48.179830, 5
-2.727306, 8.027880, 21.037511, 3
1.006077, 9.463797, 21.037511, 1
66.213642, 34.543630, 21.037511, 0
69.947024, 35.979546, 21.037511, 4
70.826508, 39.361147, 129.805571, 5
68.905955, 41.665811, 129.805571, 11
58.792506, 43.759679, -165.963757, 11
47.735141, 39.436356, 201.037511, 3
44.001758, 38.000440, 201.037511, 1
-6.981770, 18.391390, 201.037511, 0
-10.715153, 16.955474, 201.037511, 4
-11.514805, 13.642813, -48.179830, 5
-3.868427, 9.303251, 21.037511, 3
-0.135044, 10.739167, 21.037511, 1
65.131825, 35.841809, 21.037511, 0
68.865208, 37.277726, 21.037511, 4
69.744692, 40.659327, 129.805571, 5
67.824138, 42.963991, 129.805571, 11
58.792506, 43.759679, -165.963757, 11
35.000614, 36.252724, 201.037511, 3
31.267232, 34.816808, 201.037511, 1
-8.122891, 19.666761, 201.037511, 0
-11.856274, 18.230844, 201.037511, 4
-12.655926, 14.918183, -48.179830, 5
-5.009548, 10.578621, 21.037511, 3
-1.276165, 12.014538, 21.037511, 1
64.050009, 37.139989, 21.037511, 0
67.783391, 38.575906, 21.037511, 4
68.662875, 41.957507, 129.805571, 5
66.742322, 44.262171, 129.805571, 11
58.792506, 43.759679, -165.963757, 11
22.266088, 33.069093, 201.037511, 3
18.532705, 31.633176, 201.037511, 1
-9.264012, 20.942131, 201.037511, 0
-12.997395, 19.506215, 201.037511, 4
-13.797047, 16.193554, -48.179830, 5
-6.150669, 11.853992, 21.037511, 3
-2.417286, 13.289908, 21.037511, 1
62.968192, 38.438169, 21.037511, 0
66.701575, 39.874086, 21.037511, 4
67.581058, 43.255687, 129.805571, 5
9.531561, 29.885461, 201.037511, 3
5.798179, 28.449545, 201.037511, 1
-10.405133, 22.217502, 201.037511, 0
-14.138515, 20.781585, 201.037511, 4
-13.958831, 15.953732, 201.037511, 8
-19.239294, 17.228398, 131.820170, 9
-18.359677, 20.872325, 21.037511, 10
-15.279636, 22.056956, 21.037511, 3
-11.546254, 23.492872, 21.037511, 1
-6.936347, 25.265913, 21.037511, 0
-3.202965, 26.701829, 21.037511, 4
1.000000, 35.000000, 0.000000, 3
5.000000, 35.000000, 0.000000, 7
20.000000, 35.000000, 0.000000, 12
