#Easting (m),Northing (m),heading_angle (deg),state
368968.554,3280347.744,147.092355,1
368963.674,3280357.22,107.8503183,1
368964.394,3280366.281,100.7167197,1
368960.084,3280371.173,164.2378522,1
368951.661,3280374.363,155.890983,1
368943.366,3280381.049,125.6849674,1
368939.612,3280384.71,179.8149766,1
368934.343,3280382.613,-124.2846711,1
368929.749,3280374.103,-80.86895699,1
368933.279,3280368.759,-47.40108482,1
368938.412,3280364.547,-72.86348151,1
368936.614,3280355.761,-128.9304239,1
368932.399,3280352.518,-158.4809761,1
368929.954,3280349.157,-87.60011935,1
368933.922,3280343.605,-15.9453959,1
368952.156,3280342.776,5.416146393,1
368969.659,3280345.67,24.48138342,1
