# path_seg_number, u, x (m), y (m), heading (deg), radius of curvature (m), flag_to_identify_given_pose
1 ,  0.0 ,  368968.554 ,  3280347.744 ,  147.09235500931854 ,  -2.9433291125623526 ,  1
1 ,  0.05 ,  368968.22158807644 ,  3280347.990609946 ,  140.1046136216631 ,  -3.9371782605609353 ,  0
1 ,  0.1 ,  368967.89579088887 ,  3280348.292633285 ,  134.50312101561852 ,  -5.260582187734512 ,  0
1 ,  0.15000000000000002 ,  368967.5770570674 ,  3280348.6448202403 ,  129.99595949255703 ,  -6.939780364275042 ,  0
1 ,  0.2 ,  368967.26583524264 ,  3280349.0419210377 ,  126.33614154987774 ,  -8.992507903118264 ,  0
1 ,  0.25 ,  368966.9625740447 ,  3280349.478685903 ,  123.33102777246137 ,  -11.426871670128715 ,  0
1 ,  0.30000000000000004 ,  368966.6677221044 ,  3280349.94986506 ,  120.83510521865823 ,  -14.24115901570961 ,  0
1 ,  0.35000000000000003 ,  368966.38172805187 ,  3280350.4502087347 ,  118.73949176550879 ,  -17.42432645622959 ,  0
1 ,  0.4 ,  368966.10504051764 ,  3280350.9744671513 ,  116.96260631145459 ,  -20.957125530620498 ,  0
1 ,  0.45 ,  368965.83810813207 ,  3280351.5173905366 ,  115.44294435213696 ,  -24.813998989742306 ,  0
1 ,  0.5 ,  368965.58137952554 ,  3280352.0737291127 ,  114.13377842939867 ,  -28.96609079629661 ,  0
1 ,  0.55 ,  368965.3353033285 ,  3280352.6382331075 ,  112.9993586079657 ,  -33.38605245883469 ,  0
1 ,  0.6000000000000001 ,  368965.1003281714 ,  3280353.205652746 ,  112.01221854380655 ,  -38.05597782053518 ,  0
1 ,  0.65 ,  368964.87690268457 ,  3280353.770738251 ,  111.1512865111551 ,  -42.98117768042512 ,  0
1 ,  0.7000000000000001 ,  368964.66547549854 ,  3280354.3282398502 ,  110.40059387209665 ,  -48.215705667801465 ,  0
1 ,  0.75 ,  368964.46649524354 ,  3280354.872907767 ,  109.74845330427694 ,  -53.913747001256034 ,  0
1 ,  0.8 ,  368964.2804105501 ,  3280355.3994922265 ,  109.18705166541119 ,  -60.444750616101715 ,  0
1 ,  0.8500000000000001 ,  368964.1076700486 ,  3280355.902743455 ,  108.712484258842 ,  -68.69126258038625 ,  0
1 ,  0.9 ,  368963.94872236956 ,  3280356.3774116766 ,  108.32538065556973 ,  -80.99685674430145 ,  0
1 ,  0.9500000000000001 ,  368963.8040161432 ,  3280356.8182471166 ,  108.03251164569127 ,  -100.0 ,  0
2 ,  0.0 ,  368963.674 ,  3280357.22 ,  107.85031829868095 ,  -2.4352543582746184 ,  1
2 ,  0.05 ,  368963.58793406934 ,  3280357.5625998047 ,  100.73069855555673 ,  -3.3475948057310827 ,  0
2 ,  0.1 ,  368963.5363052701 ,  3280357.9390322505 ,  95.18902995354328 ,  -4.636126488780761 ,  0
