#ptx (m), pty (m), azim_deg (deg), state
-10.000000, -10.000000, 0.000000, 6
20.382917, 3.818478, -8.032739, 3
24.343670, 3.259523, -8.032739, 1
164.190351, -16.476139, -8.032739, 0
168.151105, -17.035095, -8.032739, 4
170.788790, -14.472837, 96.370664, 5
166.134832, 1.023844, 171.967261, 3
162.174079, 1.582800, 171.967261, 1
27.680417, 20.563025, 171.967261, 0
23.719664, 21.121980, 171.967261, 4
20.181054, 18.595467, -100.914743, 5
20.686257, 5.391524, -8.032739, 3
24.647011, 4.832568, -8.032739, 1
164.007054, -14.834417, -8.032739, 0
167.967807, -15.393373, -8.032739, 4
170.605492, -12.831115, 96.370664, 5
165.951535, 2.665566, 171.967261, 3
161.990781, 3.224522, 171.967261, 1
27.983758, 22.136070, 171.967261, 0
24.023005, 22.695026, 171.967261, 4
20.484395, 20.168513, -100.914743, 5
20.989598, 6.964570, -8.032739, 3
24.950352, 6.405614, -8.032739, 1
163.823756, -13.192696, -8.032739, 0
167.784510, -13.751651, -8.032739, 4
170.422195, -11.189393, 96.370664, 5
165.768237, 4.307288, 171.967261, 3
161.807484, 4.866243, 171.967261, 1
28.287099, 23.709116, 171.967261, 0
24.326345, 24.268072, 171.967261, 4
20.787736, 21.741558, -100.914743, 5
21.292939, 8.537615, -8.032739, 3
25.253692, 7.978660, -8.032739, 1
163.640459, -11.550974, -8.032739, 0
167.601212, -12.109930, -8.032739, 4
170.238897, -9.547672, 96.370664, 5
165.584940, 5.949010, 171.967261, 3
161.624186, 6.507965, 171.967261, 1
28.590439, 25.282162, 171.967261, 0
24.629686, 25.841117, 171.967261, 4
21.091076, 23.314604, -100.914743, 5
21.596279, 10.110661, -8.032739, 3
25.557033, 9.551705, -8.032739, 1
163.457161, -9.909252, -8.032739, 0
167.417915, -10.468208, -8.032739, 4
170.055600, -7.905950, 96.370664, 5
165.401642, 7.590731, 171.967261, 3
161.440889, 8.149687, 171.967261, 1
28.893780, 26.855207, 171.967261, 0
24.933027, 27.414163, 171.967261, 4
21.394417, 24.887650, -100.914743, 5
21.899620, 11.683707, -8.032739, 3
25.860374, 11.124751, -8.032739, 1
163.273864, -8.267530, -8.032739, 0
167.234617, -8.826486, -8.032739, 4
169.872302, -6.264228, 96.370664, 5
165.218345, 9.232453, 171.967261, 3
161.257591, 9.791409, 171.967261, 1
29.197121, 28.428253, 171.967261, 0
25.236367, 28.987208, 171.967261, 4
21.697758, 26.460695, -100.914743, 5
22.202961, 13.256752, -8.032739, 3
26.163714, 12.697797, -8.032739, 1
163.090566, -6.625809, -8.032739, 0
167.051320, -7.184764, -8.032739, 4
169.689005, -4.622507, 96.370664, 5
165.035047, 10.874175, 171.967261, 3
161.074294, 11.433130, 171.967261, 1
29.500461, 30.001298, 171.967261, 0
25.539708, 30.560254, 171.967261, 4
22.001098, 28.033741, -100.914743, 5
22.506301, 14.829798, -8.032739, 3
26.467055, 14.270842, -8.032739, 1
162.907269, -4.984087, -8.032739, 0
166.868022, -5.543043, -8.032739, 4
169.505707, -2.980785, 96.370664, 5
164.851750, 12.515896, 171.967261, 3
160.890996, 13.074852, 171.967261, 1
29.803802, 31.574344, 171.967261, 0
25.843049, 32.133300, 171.967261, 4
22.304439, 29.606786, -100.914743, 5
22.809642, 16.402843, -8.032739, 3
26.770396, 15.843888, -8.032739, 1
162.723971, -3.342365, -8.032739, 0
166.684725, -3.901321, -8.032739, 4
169.322410, -1.339063, 96.370664, 5
164.668452, 14.157618, 171.967261, 3
160.707699, 14.716574, 171.967261, 1
30.107143, 33.147390, 171.967261, 0
26.146389, 33.706345, 171.967261, 4
22.607780, 31.179832, -100.914743, 5
23.112983, 17.975889, -8.032739, 3
27.073736, 17.416933, -8.032739, 1
162.540674, -1.700644, -8.032739, 0
166.501427, -2.259599, -8.032739, 4
169.139112, 0.302659, 96.370664, 5
164.485155, 15.799340, 171.967261, 3
160.524401, 16.358296, 171.967261, 1
31.733564, 34.533718, 171.967261, 0
27.772810, 35.092673, 171.967261, 4
21.823312, 35.866794, 173.205916, 5
23.416323, 19.548935, -8.032739, 3
27.377077, 18.989979, -8.032739, 1
162.357376, -0.058922, -8.032739, 0
166.318130, -0.617877, -8.032739, 4
168.955815, 1.944380, 96.370664, 5
164.301857, 17.441062, 171.967261, 3
160.341104, 18.000017, 171.967261, 1
105.229882, 25.777509, 171.967261, 0
101.269128, 26.336465, 171.967261, 4
74.000000, 40.000000, 180.000000, 3
70.000000, 40.000000, 180.000000, 7
55.000000, 40.000000, 180.000000, 12
