#ptx (m), pty (m), azim_deg (deg), state
646808.030000, 3316409.410000, 0.000000, 6
646824.589425, 3316414.499237, -8.032739, 3
646832.510932, 3316413.381326, -8.032739, 1
646972.137409, 3316393.676740, -8.032739, 0
646980.058916, 3316392.558829, -8.032739, 4
646982.960370, 3316395.377312, 96.370664, 5
646977.963826, 3316411.323708, 171.967261, 3
646970.042319, 3316412.441619, 171.967261, 1
646835.978116, 3316431.361237, 171.967261, 0
646828.056609, 3316432.479149, 171.967261, 4
646824.164138, 3316429.699984, -100.914743, 5
646825.167289, 3316417.495889, -8.032739, 3
646833.088796, 3316416.377978, -8.032739, 1
646971.788227, 3316396.804220, -8.032739, 0
646979.709734, 3316395.686309, -8.032739, 4
646982.611188, 3316398.504792, 96.370664, 5
646977.614644, 3316414.451188, 171.967261, 3
646969.693137, 3316415.569099, 171.967261, 1
646836.555980, 3316434.357889, 171.967261, 0
646828.634472, 3316435.475801, 171.967261, 4
646824.742002, 3316432.696636, -100.914743, 5
646825.745153, 3316420.492541, -8.032739, 3
646833.666660, 3316419.374630, -8.032739, 1
646971.439046, 3316399.931700, -8.032739, 0
646979.360553, 3316398.813788, -8.032739, 4
646982.262006, 3316401.632272, 96.370664, 5
646977.265462, 3316417.578668, 171.967261, 3
646969.343955, 3316418.696579, 171.967261, 1
646837.133844, 3316437.354541, 171.967261, 0
646829.212336, 3316438.472453, 171.967261, 4
646825.319866, 3316435.693288, -100.914743, 5
646826.323017, 3316423.489193, -8.032739, 3
646834.244524, 3316422.371282, -8.032739, 1
646971.089864, 3316403.059180, -8.032739, 0
646979.011371, 3316401.941268, -8.032739, 4
646981.912824, 3316404.759752, 96.370664, 5
646976.916281, 3316420.706148, 171.967261, 3
646968.994773, 3316421.824059, 171.967261, 1
646837.711707, 3316440.351193, 171.967261, 0
646829.790200, 3316441.469105, 171.967261, 4
646825.897730, 3316438.689940, -100.914743, 5
646826.900881, 3316426.485845, -8.032739, 3
646834.822388, 3316425.367934, -8.032739, 1
646970.740682, 3316406.186660, -8.032739, 0
646978.662189, 3316405.068748, -8.032739, 4
646981.563643, 3316407.887232, 96.370664, 5
646976.567099, 3316423.833628, 171.967261, 3
646968.645592, 3316424.951539, 171.967261, 1
646838.289571, 3316443.347845, 171.967261, 0
646830.368064, 3316444.465756, 171.967261, 4
646826.475594, 3316441.686592, -100.914743, 5
646827.478745, 3316429.482497, -8.032739, 3
646835.400252, 3316428.364586, -8.032739, 1
646970.391500, 3316409.314139, -8.032739, 0
646978.313008, 3316408.196228, -8.032739, 4
646981.214461, 3316411.014712, 96.370664, 5
646976.217917, 3316426.961108, 171.967261, 3
646968.296410, 3316428.079019, 171.967261, 1
646943.209632, 3316431.619354, 171.967261, 0
646935.288125, 3316432.737266, 171.967261, 4
646886.030000, 3316449.410000, 180.000000, 3
646878.030000, 3316449.410000, 180.000000, 7
646863.030000, 3316449.410000, 180.000000, 12
