p0x, p0y, p0z, p1x, p1y, p1z, p2x, p2y, p2z, p3x, p3y, p3z, w1, w2, length, state
0.0 , 0.0 , 0.0 , 5.660591956739921 , -4.678053977007033 , 0.0 , 20.849131894306574 , -7.561956357192798 , 0.0 , 28.143 , -8.414 , 0.0 , 1.0 , 1.0 , 29.644320862166797 , 0
28.143 , -8.414 , 0.0 , 30.72371429100761 , -8.71546983379619 , 0.0 , 36.39224059573701 , -8.997980129988807 , 0.0 , 38.493 , -7.469 , 0.0 , 1.0 , 1.0 , 10.5540576773373 , 0
38.493 , -7.469 , 0.0 , 39.88072449467395 , -6.458982777680529 , 0.0 , 42.85689300148493 , -4.587271712306981 , 0.0 , 43.873 , -3.204 , 0.0 , 1.0 , 1.0 , 6.887756046648741 , 0
43.873 , -3.204 , 0.0 , 45.294909363750456 , -1.268291454330286 , 0.0 , 46.313803958567185 , 3.5829729653919817 , 0.0 , 46.924 , 5.906 , 0.0 , 1.0 , 1.0 , 9.651305100346306 , 0
46.924 , 5.906 , 0.0 , 48.76479202571257 , 12.913927535518113 , 0.0 , 48.21976665966755 , 28.433506187589735 , 0.0 , 44.777 , 34.809 , 0.0 , 1.0 , 1.0 , 29.402294853658933 , 0
44.777 , 34.809 , 0.0 , 44.221610963205826 , 35.837498215996916 , 0.0 , 43.380403369405066 , 38.1140912589646 , 0.0 , 42.517 , 38.902 , 0.0 , 1.0 , 1.0 , 4.696251199745671 , 0
42.517 , 38.902 , 0.0 , 40.97638506225926 , 40.30790599831927 , 0.0 , 38.29518811437242 , 43.63433334552522 , 0.0 , 36.478 , 44.658 , 0.0 , 1.0 , 1.0 , 8.36320672266081 , 0
36.478 , 44.658 , 0.0 , 33.986756980151846 , 46.061378322498186 , 0.0 , 29.827387699570302 , 50.095852891282 , 0.0 , 27.824 , 52.136 , 0.0 , 1.0 , 1.0 , 11.463457350621315 , 0
27.824 , 52.136 , 0.0 , 25.6874690578713 , 54.3117333466734 , 0.0 , 23.81785829372144 , 60.4334616499711 , 0.0 , 23.183 , 63.416 , 0.0 , 1.0 , 1.0 , 12.305557975534484 , 0
23.183 , 63.416 , 0.0 , 22.500117406624774 , 66.62415454952924 , 0.0 , 21.621655396573406 , 73.16825831880713 , 0.0 , 21.665 , 76.448 , 0.0 , 1.0 , 1.0 , 13.1374904799851 , 0
21.665 , 76.448 , 0.0 , 21.682311986003846 , 77.7579402830437 , 0.0 , 22.713344581853278 , 80.48281941667219 , 0.0 , 23.781 , 81.242 , 0.0 , 1.0 , 1.0 , 5.356544125515471 , 0
23.781 , 81.242 , 0.0 , 26.414307079969255 , 83.11447268273366 , 0.0 , 30.644216444857623 , 88.18431343911645 , 0.0 , 32.31 , 90.953 , 0.0 , 1.0 , 1.0 , 12.98213222297093 , 0
32.31 , 90.953 , 0.0 , 34.09639342500067 , 93.92215133600737 , 0.0 , 36.184655907652726 , 100.70387639749515 , 0.0 , 36.547 , 104.15 , 0.0 , 1.0 , 1.0 , 13.929472546297882 , 0
36.547 , 104.15 , 0.0 , 36.79392988556904 , 106.49846082714038 , 0.0 , 35.64186806996097 , 111.32279220504198 , 0.0 , 34.446 , 113.359 , 0.0 , 1.0 , 1.0 , 9.543762367491228 , 0
34.446 , 113.359 , 0.0 , 32.3313156679647 , 116.9596787278018 , 0.0 , 27.85886332565934 , 124.59144625609423 , 0.0 , 24.151 , 126.512 , 0.0 , 1.0 , 1.0 , 16.85907911017039 , 0
24.151 , 126.512 , 0.0 , 23.14361524804835 , 127.03379284590278 , 0.0 , 22.636228536361774 , 129.58915345737302 , 0.0 , 22.401 , 130.699 , 0.0 , 1.0 , 1.0 , 4.640122233833638 , 0
22.401 , 130.699 , 0.0 , 21.506017113209417 , 134.92167501204534 , 0.0 , 22.036845374819414 , 143.64578000255733 , 0.0 , 22.084 , 147.962 , 0.0 , 1.0 , 1.0 , 17.294643486032292 , 0
22.084 , 147.962 , 0.0 , 22.118364095393922 , 151.10746017840756 , 0.0 , 23.682719488973824 , 157.27190916206314 , 0.0 , 24.487 , 160.313 , 0.0 , 1.0 , 1.0 , 12.605355196254784 , 0
24.487 , 160.313 , 0.0 , 24.937049804425016 , 162.01469775108183 , 0.0 , 25.024154336616718 , 165.73574015287252 , 0.0 , 24.327 , 167.352 , 0.0 , 1.0 , 1.0 , 7.121761884876415 , 0
24.327 , 167.352 , 0.0 , 23.230309061399133 , 169.89453245754913 , 0.0 , 21.98720991895295 , 175.4980799805744 , 0.0 , 22.328 , 178.246 , 0.0 , 1.0 , 1.0 , 11.157566849246159 , 0
22.328 , 178.246 , 0.0 , 22.59545654607374 , 180.40260383959648 , 0.0 , 23.887033452651014 , 185.24595433503902 , 0.0 , 25.841 , 186.197 , 0.0 , 1.0 , 1.0 , 8.920230774558137 , 0
25.841 , 186.197 , 0.0 , 27.548543105147925 , 187.02810505145968 , 0.0 , 31.01491713504525 , 189.71464720782842 , 0.0 , 32.833 , 189.166 , 0.0 , 1.0 , 1.0 , 7.742056372094558 , 0
32.833 , 189.166 , 0.0 , 36.721891753594086 , 187.9924398486537 , 0.0 , 44.53330542685066 , 185.27796287129897 , 0.0 , 48.595 , 185.22 , 0.0 , 1.0 , 1.0 , 16.289753998895147 , 0
48.595 , 185.22 , 0.0 , 52.33886186429238 , 185.1665727962817 , 0.0 , 59.7798748956044 , 186.943107456188 , 0.0 , 63.232 , 188.393 , 0.0 , 1.0 , 1.0 , 15.043621347470552 , 0
63.232 , 188.393 , 0.0 , 65.00523168654975 , 189.13775730833336 , 0.0 , 69.34719706114169 , 189.75051271912218 , 0.0 , 70.921 , 188.645 , 0.0 , 1.0 , 1.0 , 7.893212106993503 , 0
70.921 , 188.645 , 0.0 , 73.03600955893451 , 187.15931846342642 , 0.0 , 78.1502321444805 , 185.81173722536334 , 0.0 , 80.642 , 185.125 , 0.0 , 1.0 , 1.0 , 10.375889491180558 , 0
80.642 , 185.125 , 0.0 , 85.05278853257153 , 183.90937605180076 , 0.0 , 94.32743417640768 , 182.574258584724 , 0.0 , 98.849 , 183.273 , 0.0 , 1.0 , 1.0 , 18.387970457101076 , 0
98.849 , 183.273 , 0.0 , 103.0611627717401 , 183.92392772975717 , 0.0 , 111.63768021205249 , 185.19293979375942 , 0.0 , 115.474 , 187.05 , 0.0 , 1.0 , 1.0 , 17.09450604880971 , 0
115.474 , 187.05 , 0.0 , 121.43457056638304 , 189.9353534160772 , 0.0 , 130.55306846917657 , 200.32237680395505 , 0.0 , 134.016 , 205.967 , 0.0 , 1.0 , 1.0 , 26.7159281983661 , 0
134.016 , 205.967 , 0.0 , 137.10472160950312 , 211.00165618304652 , 0.0 , 138.72483113528932 , 223.19787489937116 , 0.0 , 138.8 , 229.104 , 0.0 , 1.0 , 1.0 , 23.810932224972653 , 0
138.8 , 229.104 , 0.0 , 138.85682620564714 , 233.5689161702491 , 0.0 , 140.05309849372316 , 243.16669914763446 , 0.0 , 143.087 , 246.443 , 0.0 , 1.0 , 1.0 , 18.123231323196297 , 0
143.087 , 246.443 , 0.0 , 146.308668760124 , 249.9220701290059 , 0.0 , 151.12584387907052 , 258.26606879567737 , 0.0 , 154.523 , 261.574 , 0.0 , 1.0 , 1.0 , 18.986365663734084 , 0
154.523 , 261.574 , 0.0 , 157.8487167558914 , 264.81236816499967 , 0.0 , 165.58133021327103 , 270.0502972663327 , 0.0 , 169.073 , 273.109 , 0.0 , 1.0 , 1.0 , 18.575578056227645 , 0
169.073 , 273.109 , 0.0 , 173.7418169818843 , 277.1988836767895 , 0.0 , 178.0146876659572 , 289.69055084725466 , 0.0 , 182.471 , 294.011 , 0.0 , 1.0 , 1.0 , 24.928522768976812 , 0
182.471 , 294.011 , 0.0 , 185.81607835917882 , 297.2540942625761 , 0.0 , 190.24704136948733 , 305.6296216359936 , 0.0 , 193.006 , 309.384 , 0.0 , 1.0 , 1.0 , 18.6655824569167 , 0
193.006 , 309.384 , 0.0 , 195.2866631536653 , 312.4875160531264 , 0.0 , 194.46879996101814 , 321.00608708852144 , 0.0 , 193.676 , 324.775 , 0.0 , 1.0 , 1.0 , 15.70081669265131 , 0
193.676 , 324.775 , 0.0 , 192.22255856618023 , 331.68455405568665 , 0.0 , 189.16853214744637 , 346.7412366829753 , 0.0 , 183.688 , 351.193 , 0.0 , 1.0 , 1.0 , 28.62891339008631 , 0
183.688 , 351.193 , 0.0 , 179.0015538574343 , 354.9997378246119 , 0.0 , 168.0756941308711 , 360.5072741422483 , 0.0 , 162.439 , 362.671 , 0.0 , 1.0 , 1.0 , 24.215098854031737 , 0
162.439 , 362.671 , 0.0 , 159.39331473864436 , 363.8401299548216 , 0.0 , 154.3615903268865 , 368.2201448655899 , 0.0 , 151.875 , 370.332 , 0.0 , 1.0 , 1.0 , 13.094951544422738 , 0
151.875 , 370.332 , 0.0 , 147.1900674899208 , 374.3109018194098 , 0.0 , 142.03109408122145 , 386.04506260541257 , 0.0 , 139.929 , 391.821 , 0.0 , 1.0 , 1.0 , 24.7708087872314 , 0
139.929 , 391.821 , 0.0 , 138.71625899917217 , 395.15325622925536 , 0.0 , 135.35805682446892 , 401.755787674361 , 0.0 , 132.57 , 403.947 , 0.0 , 1.0 , 1.0 , 14.302645109759265 , 0
132.57 , 403.947 , 0.0 , 130.76958105948654 , 405.3619999164807 , 0.0 , 126.87517664223247 , 408.0419561557411 , 0.0 , 124.637 , 408.526 , 0.0 , 1.0 , 1.0 , 9.212287193770427 , 0
124.637 , 408.526 , 0.0 , 110.78943961586454 , 411.5207709378552 , 0.0 , 85.65464009488554 , 426.08621028076345 , 0.0 , 71.785 , 428.977 , 0.0 , 1.0 , 1.0 , 56.76034040106154 , 0
71.785 , 428.977 , 0.0 , 65.65415696023365 , 430.2548253731432 , 0.0 , 52.99278077198446 , 431.7586783257152 , 0.0 , 46.802 , 430.813 , 0.0 , 1.0 , 1.0 , 25.137035971975582 , 0
46.802 , 430.813 , 0.0 , 38.583331080092464 , 429.55754978296795 , 0.0 , 21.746863037555894 , 428.94424985739073 , 0.0 , 13.846 , 426.356 , 0.0 , 1.0 , 1.0 , 33.30007208877112 , 0
13.846 , 426.356 , 0.0 , 3.9586056151604154 , 423.1169807960368 , 0.0 , -15.69383209717904 , 414.583402798788 , 0.0 , -23.185 , 407.363 , 0.0 , 1.0 , 1.0 , 41.8482799655386 , 0
-23.185 , 407.363 , 0.0 , -26.54907353338766 , 404.12051948549254 , 0.0 , -33.352926429830525 , 397.5815302574202 , 0.0 , -37.368 , 395.192 , 0.0 , 1.0 , 1.0 , 18.719046541745865 , 0
-37.368 , 395.192 , 0.0 , -42.367931483210626 , 392.21634155804145 , 0.0 , -53.42420668706718 , 388.33268484351635 , 0.0 , -58.876 , 386.3 , 0.0 , 1.0 , 1.0 , 23.29773215198441 , 0
-58.876 , 386.3 , 0.0 , -62.94863843934599 , 384.78152892936305 , 0.0 , -71.16759621472161 , 381.25634392945074 , 0.0 , -74.262 , 378.204 , 0.0 , 1.0 , 1.0 , 17.47356533694648 , 0
-74.262 , 378.204 , 0.0 , -78.58103461158635 , 373.9436707112103 , 0.0 , -86.33933361027124 , 364.2535352576621 , 0.0 , -88.593 , 358.621 , 0.0 , 1.0 , 1.0 , 24.376756058955497 , 0
-88.593 , 358.621 , 0.0 , -89.53870993898042 , 356.2574094530114 , 0.0 , -91.13497154917577 , 351.078447627901 , 0.0 , -90.489 , 348.616 , 0.0 , 1.0 , 1.0 , 10.297666490025401 , 0
-90.489 , 348.616 , 0.0 , -89.66249224426505 , 345.46534721173373 , 0.0 , -86.28532965111657 , 339.55863895359255 , 0.0 , -83.832 , 337.416 , 0.0 , 1.0 , 1.0 , 13.148647891797967 , 0
-83.832 , 337.416 , 0.0 , -79.04411419975018 , 333.23445406861697 , 0.0 , -69.91566047769588 , 323.8505680164454 , 0.0 , -67.397 , 318.014 , 0.0 , 1.0 , 1.0 , 25.56630716804697 , 0
-67.397 , 318.014 , 0.0 , -64.78641518658893 , 311.96441294326735 , 0.0 , -59.91748097593504 , 299.4857637967413 , 0.0 , -59.332 , 292.923 , 0.0 , 1.0 , 1.0 , 26.43146994561103 , 0
-59.332 , 292.923 , 0.0 , -58.630473076096145 , 285.059455857882 , 0.0 , -58.4933601551346 , 269.2473627808342 , 0.0 , -58.574 , 261.353 , 0.0 , 1.0 , 1.0 , 31.58774136694595 , 0
-58.574 , 261.353 , 0.0 , -58.62113453227292 , 256.73869180175757 , 0.0 , -60.99378109368933 , 247.1883309725801 , 0.0 , -64.041 , 243.723 , 0.0 , 1.0 , 1.0 , 18.70036376396859 , 0
-64.041 , 243.723 , 0.0 , -68.58375885259542 , 238.5569244941478 , 0.0 , -81.62060903138376 , 232.9094386175947 , 0.0 , -87.4 , 229.178 , 0.0 , 1.0 , 1.0 , 27.611687117688533 , 0
-87.4 , 229.178 , 0.0 , -89.19546537490791 , 228.01876559747097 , 0.0 , -93.87633241749454 , 226.6892250321458 , 0.0 , -94.69 , 224.713 , 0.0 , 1.0 , 1.0 , 8.677821285952593 , 0
-94.69 , 224.713 , 0.0 , -95.62378914121727 , 222.44502531931136 , 0.0 , -93.48624292601531 , 217.4537501038626 , 0.0 , -93.04 , 215.042 , 0.0 , 1.0 , 1.0 , 9.93324787313079 , 0
-93.04 , 215.042 , 0.0 , -92.40430103512233 , 211.60632190811575 , 0.0 , -92.2101385609574 , 204.55674237716363 , 0.0 , -91.363 , 201.167 , 0.0 , 1.0 , 1.0 , 13.984971399137672 , 0
-91.363 , 201.167 , 0.0 , -90.40432562409057 , 197.33095793121677 , 0.0 , -86.29846415863545 , 190.36521715379394 , 0.0 , -83.897 , 187.224 , 0.0 , 1.0 , 1.0 , 15.886350872011533 , 0
-83.897 , 187.224 , 0.0 , -78.82035283403619 , 180.58352980845393 , 0.0 , -65.75970743558524 , 169.27977085800654 , 0.0 , -62.375 , 161.637 , 0.0 , 1.0 , 1.0 , 33.53833931615714 , 0
-62.375 , 161.637 , 0.0 , -60.46689193585077 , 157.32843478893162 , 0.0 , -55.598794115482505 , 148.7367793244379 , 0.0 , -55.66 , 144.025 , 0.0 , 1.0 , 1.0 , 18.96795586839978 , 0
-55.66 , 144.025 , 0.0 , -55.71480637623484 , 139.80587054167285 , 0.0 , -56.583073210869365 , 131.29973973033958 , 0.0 , -57.927 , 127.3 , 0.0 , 1.0 , 1.0 , 16.921891179757566 , 0
-57.927 , 127.3 , 0.0 , -58.64175557452123 , 125.17277380582345 , 0.0 , -59.371211699651056 , 120.36811960375283 , 0.0 , -58.417 , 118.337 , 0.0 , 1.0 , 1.0 , 9.114779269298854 , 0
-58.417 , 118.337 , 0.0 , -56.71936671932489 , 114.72344523262144 , 0.0 , -53.1029244020792 , 107.18029543082802 , 0.0 , -53.342 , 103.195 , 0.0 , 1.0 , 1.0 , 16.089065496259558 , 0
-53.342 , 103.195 , 0.0 , -53.79242299053952 , 95.68662732730364 , 0.0 , -58.18967603665715 , 81.04004700408697 , 0.0 , -58.301 , 73.519 , 0.0 , 1.0 , 1.0 , 30.11965733489461 , 0
-58.301 , 73.519 , 0.0 , -58.36232159132184 , 69.37611326790875 , 0.0 , -56.115321220412945 , 61.11808110371146 , 0.0 , -54.138 , 57.477 , 0.0 , 1.0 , 1.0 , 16.68623080620939 , 0
-54.138 , 57.477 , 0.0 , -51.880361411101056 , 53.319736566933194 , 0.0 , -45.55970206553673 , 46.07012829786653 , 0.0 , -41.982 , 42.975 , 0.0 , 1.0 , 1.0 , 18.987476390259342 , 0
-41.982 , 42.975 , 0.0 , -39.48632860538619 , 40.815954049792744 , 0.0 , -34.52905933339995 , 36.307625032049394 , 0.0 , -31.551 , 34.886 , 0.0 , 1.0 , 1.0 , 13.22988183948871 , 0
-31.551 , 34.886 , 0.0 , -28.208967365907544 , 33.29062639636948 , 0.0 , -21.719698560372983 , 28.95279995805054 , 0.0 , -19.915 , 25.719 , 0.0 , 1.0 , 1.0 , 14.96386070486058 , 0
-19.915 , 25.719 , 0.0 , -18.021859457933413 , 22.326722785431027 , 0.0 , -13.517737442755228 , 15.749552166233897 , 0.0 , -10.397 , 13.436 , 0.0 , 1.0 , 1.0 , 15.615265534247126 , 0
-10.397 , 13.436 , 0.0 , -7.602211930959232 , 11.364089719209016 , 0.0 , -3.056938435503792 , 5.909695342686955 , 0.0 , -1.293 , 2.911 , 0.0 , 1.0 , 1.0 , 13.974820377394877 , 0
-1.293 , 2.911 , 0.0 , -0.8892544820601842 , 2.2246326189688865 , 0.0 , -0.6138231830613246 , 0.5072787448104481 , 0.0 , 0.0 , 0.0 , 0.0 , 1.0 , 1.0 , 3.2107055652961303 , 0
