#ptx (m), pty (m), azim_deg (deg), state
-10.000000, -10.000000, 0.000000, 6
-10.715153, 16.955474, 201.037511, 4
22.266088, 33.069093, 201.037511, 3
18.532705, 31.633176, 201.037511, 1
-9.264012, 20.942131, 201.037511, 0
-12.997395, 19.506215, 201.037511, 4
-13.797047, 16.193554, -48.179830, 5
-6.150669, 11.853992, 21.037511, 3
-2.417286, 13.289908, 21.037511, 1
62.968192, 38.438169, 21.037511, 0
66.701575, 39.874086, 21.037511, 4
67.581058, 43.255687, 129.805571, 5
9.531561, 29.885461, 201.037511, 3
5.798179, 28.449545, 201.037511, 1
-10.405133, 22.217502, 201.037511, 0
-14.138515, 20.781585, 201.037511, 4
-13.958831, 15.953732, 201.037511, 8
-19.239294, 17.228398, 131.820170, 9
-18.359677, 20.872325, 21.037511, 10
-15.279636, 22.056956, 21.037511, 3
-11.546254, 23.492872, 21.037511, 1
-6.936347, 25.265913, 21.037511, 0
-3.202965, 26.701829, 21.037511, 4
1.000000, 35.000000, 0.000000, 3
5.000000, 35.000000, 0.000000, 7
20.000000, 35.000000, 0.000000, 12
