#ptx (m), pty (m), azim_deg (deg), state
646808.030000, 3316409.410000, 0.000000, 7
646824.589425, 3316414.499237, -8.032739, 3
646832.510932, 3316413.381326, -8.032739, 1
646972.137409, 3316393.676740, -8.032739, 0
646981.049105, 3316392.419090, -8.032739, 4
646984.260379, 3316400.535125, 102.221859, 5
646982.921606, 3316406.715777, 102.221859, 6
646977.963826, 3316411.323708, 171.967261, 3
646970.042319, 3316412.441619, 171.967261, 1
646835.978116, 3316431.361237, 171.967261, 0
646827.066420, 3316432.618888, 171.967261, 4
646822.245140, 3316424.475689, -100.288627, 5
646821.819515, 3316422.130984, -100.288627, 6
646825.167289, 3316417.495889, -8.032739, 3
646833.088796, 3316416.377978, -8.032739, 1
646971.788227, 3316396.804220, -8.032739, 0
646980.699923, 3316395.546570, -8.032739, 4
646983.911197, 3316403.662604, 102.221859, 5
646982.572424, 3316409.843257, 102.221859, 6
646977.614644, 3316414.451188, 171.967261, 3
646969.693137, 3316415.569099, 171.967261, 1
646836.555980, 3316434.357889, 171.967261, 0
646827.644284, 3316435.615540, 171.967261, 4
646822.823003, 3316427.472340, -100.288627, 5
646822.397379, 3316425.127636, -100.288627, 6
646825.745153, 3316420.492541, -8.032739, 3
646833.666660, 3316419.374630, -8.032739, 1
646971.439046, 3316399.931700, -8.032739, 0
646980.350741, 3316398.674050, -8.032739, 4
646983.562015, 3316406.790084, 102.221859, 5
646982.223242, 3316412.970737, 102.221859, 6
646977.265462, 3316417.578668, 171.967261, 3
646969.343955, 3316418.696579, 171.967261, 1
646837.133844, 3316437.354541, 171.967261, 0
646828.222148, 3316438.612192, 171.967261, 4
646823.400867, 3316430.468992, -100.288627, 5
646822.975243, 3316428.124288, -100.288627, 6
646826.323017, 3316423.489193, -8.032739, 3
646834.244524, 3316422.371282, -8.032739, 1
646971.089864, 3316403.059180, -8.032739, 0
646980.001559, 3316401.801529, -8.032739, 4
646983.212834, 3316409.917564, 102.221859, 5
646981.874061, 3316416.098217, 102.221859, 6
646976.916281, 3316420.706148, 171.967261, 3
646968.994773, 3316421.824059, 171.967261, 1
646837.711707, 3316440.351193, 171.967261, 0
646828.800012, 3316441.608843, 171.967261, 4
646823.978731, 3316433.465644, -100.288627, 5
646823.553107, 3316431.120940, -100.288627, 6
646826.900881, 3316426.485845, -8.032739, 3
646834.822388, 3316425.367934, -8.032739, 1
646970.740682, 3316406.186660, -8.032739, 0
646979.652378, 3316404.929009, -8.032739, 4
646982.863652, 3316413.045044, 102.221859, 5
646981.524879, 3316419.225697, 102.221859, 6
646976.567099, 3316423.833628, 171.967261, 3
646968.645592, 3316424.951539, 171.967261, 1
646838.289571, 3316443.347845, 171.967261, 0
646829.377876, 3316444.605495, 171.967261, 4
646824.556595, 3316436.462296, -100.288627, 5
646824.130971, 3316434.117592, -100.288627, 6
646827.478745, 3316429.482497, -8.032739, 3
646835.400252, 3316428.364586, -8.032739, 1
646970.391500, 3316409.314139, -8.032739, 0
646979.303196, 3316408.056489, -8.032739, 4
646982.514470, 3316416.172524, 102.221859, 5
646981.175697, 3316422.353177, 102.221859, 6
646976.217917, 3316426.961108, 171.967261, 3
646968.296410, 3316428.079019, 171.967261, 1
646943.209632, 3316431.619354, 171.967261, 0
646934.297936, 3316432.877005, 171.967261, 4
646886.030000, 3316449.410000, 180.000000, 3
646878.030000, 3316449.410000, 180.000000, 8
646863.030000, 3316449.410000, 180.000000, 12
